candidate id (if applicable),committee id,committee name,filing frequency,Election year (if applicable),committee type,committee designation,filing start date,filing end date,total disbursements,new loans,outstanding loans,total receipts,cash on hand close of period,contributions from party committees,contributions from other committees,Transfers received from other affiliated or authorized committees,Individual Itemized Contribution,Individual Unitemized Contribution,Contributions from the candidate (candidate committees only),Sum of loans from the candidate,Sum of loans from other sources
H0FL11152,C00468363,TONY BUNTYN FOR CONGRESS COMMITTEE,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-06-30,,,31735.06,,,,,,,,,,
S0NY00550,C00482216,TOWNSEND FOR SENATE,Quarterly,2016,Senate,Principal Committee of Candidate,2015-04-01,2015-06-30,52.00,,108845.00,,,,,,,,,,
H4VA10113,C00557603,WASINGER FOR CONGRESS,Quarterly,2016,House,Principal Committee of Candidate,2015-04-01,2015-06-30,12014.05,,15092.63,12000.00,,,,,,,12000.00,,
,C00523852,AMERICANS FOR A STRONG NATIONAL DEFENSE,Termination report,2016,Super PAC,Unauthorized,2015-01-01,2015-06-26,5.00,,,,,,,,,,,,
,C00514224,AMERICANS FOR ACCOUNTABILITY IN LEADERSHIP,Monthly,2016,Super PAC,Unauthorized,2015-06-01,2015-06-30,,,,,18231.55,,,,,,,,
,C00568527,AMERICANS FOR BETTER BREWING AKA SIX-PAC,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,,,,,20.00,,,,,,,,
,C00523787,AMERICANS FOR FLAT AND FAIR TAX EQUALITY,Termination report,2016,Super PAC,Unauthorized,2015-01-01,2015-06-26,5.00,,,,,,,,,,,,
,C00513804,"AMERICANS FOR GROWTH, OPPORTUNITY AND PROSPERITY, INC.",Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,,,628.26,,654.82,,,,,,,,
,C00425645,"ATLAS PAC, FEDERAL",Monthly,2016,Super PAC,Unauthorized,2015-06-01,2015-06-30,12.00,,1000.00,,78.08,,,,,,,,
,C00576900,BETTER LOUISIANA PAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,,,,,,,,,
,C00559781,BUILDING A BETTER PA,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,9816.00,,137000.00,15000.00,7342.87,,15000.00,,,,,,
,C90013103,CALIFORNIA LEAGUE OF CONSERVATION VOTERS,Quarterly,2016,Expenditure Only,Unauthorized,2015-04-01,2015-06-30,,,,,,,,,,,,,
,C00564070,CAMBODIAN-AMERICANS POLITICAL ACTION COMMITTEE,Quarterly,2016,Super PAC,Lobbyist/Registrant PAC,2015-04-01,2015-06-30,45.00,,,100.00,170.43,,,,,100.00,,,
,C00562785,CAMPAIGN FOR JOBS AND OPPORTUNITY,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,36034.09,,,33500.00,656.79,,,,33500.00,,,,
,C00419028,SANTA CLARA COUNTY DEMOCRATIC CLUB,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,-337.50,,,0.35,863.67,,,,,,,,
,C00560615,AMERICAN JOBS COUNCIL FEDERAL POLITICAL ACTION INC,Monthly,2016,Super PAC,Unauthorized,2015-06-01,2015-06-30,12.00,,,,94.36,,,,,,,,
,C00545798,AMERICAN LIBERTY PAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,29241.42,,,28778.74,1212.95,,,,8500.00,17627.04,,,
,C00550368,AMERICAN OPPORTUNITY PAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,20.00,,6116.25,,1480.00,,,,,,,,
,C00527804,AMERICAN PRINCIPLES SUPERPAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,245.12,,,,,,,,
,C00512871,AMERICAN VALUES COALITION,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,60.00,,,500.00,491.66,,,,500.00,,,,
,C00511915,AMERICAN WORKING FAMILIES,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,1240.00,,3000.00,,2337.99,,,,,,,,
,C00565010,AMERICANS FOR THE CONSERVATION OF LIBERTY,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,50.00,,,,,,,,
,C00522334,AMERICANS FOR THE WIN TOMORROW,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,100.00,,,,,,,,
,C00570069,ARRIBA CON HILLARY PAC,Termination report,2016,Super PAC,Unauthorized,2015-01-01,2015-06-19,2630.00,,,2555.00,,,,,800.00,1755.00,,,
,C00523779,BUILD THE KEYSTONE PIPELINE,Termination report,2016,Super PAC,Unauthorized,2015-01-01,2015-06-26,5.00,,,,,,,,,,,,
,C00560243,AMERICANS FOR A BETTER FUTURE,Termination report,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,59.00,,,16.00,,,,,,,,,
,C00569228,COMMITTEE TO ELECT AN INDEPENDENT SENATE,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,5217.50,,,65407.79,176636.70,,,,,,,,
,C00571968,COMMITTEE TO SAVE BROOK PARK EMS,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,20845.36,,,21050.00,204.64,,,,21050.00,,,,
,C00488486,COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,Quarterly,2016,Super PAC,Lobbyist/Registrant PAC,2015-04-01,2015-06-30,243837.00,,,243837.00,85576.57,,,,243837.00,,,,
,C00570531,COMMUNITIES APPLIED POLICY STRATEGIES,Quarterly,2016,Super PAC,Unauthorized,2015-04-16,2015-07-15,,,,,,,,,,,,,
,C00524751,CONNECTICUT'S FUTURE PAC INC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,206.70,,79006.25,,866.93,,,,,,,,
,C00510727,CONSERVATIVE RENEWAL POLITICAL ACTION COMMITTEE (PAC),Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,945.00,,,,15529.86,,,,,,,,
,C00557595,CONSERVATIVE WARCHEST PAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,41865.31,,,40017.00,2112.70,,,,39000.00,1017.00,,,
,C00576157,CRUSADERS PAC,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,20.11,,,56.00,545.89,,,,,56.00,,,
,C00523019,DEFENDERS OF WILDLIFE ACTION COMMITTEE,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,7578.10,,,,571.16,,,,,,,,
,C00533992,FREEDOMS DEFENSE SUPERFUND,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,63.13,,,777.00,1081.75,,,,250.00,527.00,,,
,C00517276,FRIENDS OF TRADITIONAL BANKING INC,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,15166.21,,1109.00,23100.00,27753.89,,,,22250.00,850.00,,,
,C00579730,"VICTORY SUPER PAC, INC.",Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,,,,,,,,,
,C00567313,VISIONARY LEADERS FUND,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,68.97,,,,921.59,,,,,,,,
,C00490193,WORKING FAMILIES FOR HAWAII,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,100.00,,,,10655.03,,,,,,,,
,C00430876,WORKING FOR US POLITICAL ACTION COMMITTEE INC,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,,,1800.00,,143768.94,,,,,,,,
,C00558395,YOUNG CONSERVATIVES OF AMERICA,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,,,,,,,,,,,,,
,C00435818,YOUNG VOTERS,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,325.19,,,,,,,,
,C00181529,1ST SOURCE CORPORATION POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,,,,1593.40,42953.51,,,,107.73,1483.34,,,
,C00571083,3 POINT LEADERSHIP FUND,Quarterly,2016,PAC,Leadership PAC,2015-01-01,2015-06-30,3001.65,,,,1998.35,,,,,,,,
,C00084475,3M COMPANY PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,22067.21,,,20876.91,84914.38,,,,15533.91,5343.00,,,
,C00191387,500 CLUB,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,3150.00,,,1500.00,1083.31,,,,1500.00,,,,
,C00422527,613 PAC,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,12400.00,,157.40,,,,,,,,
,C00320168,A SECURE AMERICA PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,,,,,154.17,,,,,,,,
,C00536573,ABBVIE POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-02-01,2015-02-28,45.00,,,52985.81,223230.20,,,,20707.25,32277.23,,,
,C00536573,ABBVIE POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,118245.00,,,63467.94,35449.16,,,,40402.92,18063.87,,,
,C00407882,SAVE NEW YORK PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,,,101092.38,,,,,,,,,,
,C00491167,THE TRUTH SQUAD,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,31.00,,,,969.00,,,,,,,,
,C00512293,THE VOICES OF THE AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,507.45,,,,77249.25,,,,,,,,
,C00518738,TIPPING POINT,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,,,,,5946.44,,,,,,,,
,C00557934,UNITAS INC,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,,,,,,,,,,,,,
,C00489203,UNITED MINE WORKERS OF AMERICA POWER PAC,Quarterly,2016,Super PAC,Lobbyist/Registrant PAC,2015-04-01,2015-06-30,,,,,6664.26,,,,,,,,
,C00490649,US ISRAEL FRIENDSHIP PAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,72.00,,,0.53,3610.25,,,,,,,,
,C00518217,USA SUPER PAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,37826.83,,,,,,,,
,C00517920,UTE PAC,Quarterly,2016,Super PAC,Unauthorized,2015-01-01,2015-06-30,,,,,9.71,,,,,,,,
,C00528208,UTILITY WORKERS UNION OF AMERICA POLITICAL-LEGISLATIVE EDUCATION FUND,Quarterly,2016,Super PAC,Unauthorized,2015-04-01,2015-06-30,,,,,5100.00,,,,,,,,
,C00496919,ACADIA HEALTHCARE COMPANY INC FEDPAC,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,5700.00,,,134200.00,129000.00,,,,132300.00,1900.00,,,
,C00335570,ACADIAN AMBULANCE SERVICE INC EMPLOYEE FEDERAL POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,2500.00,,,5217.55,27682.76,,,,2384.35,2833.20,,,
,C00483891,ACCELERATING ENERGY LEADERSHIP PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,1404.28,,6893.82,14045.01,17266.37,,,,7925.00,1005.00,,,
,C00141242,AGRI-MARK INC POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,2094.96,,,3708.08,22887.00,,,,3698.00,,,,
,C00127258,"AIR PRODUCTS AND CHEMICALS, INC. POLITICAL ALLIANCE",Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,10000.00,,,9277.97,313748.17,,,,1971.20,7306.77,,,
,C00017681,ALEXANDER AND BALDWIN INC FEDPAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,19700.00,,,21839.80,32433.86,,,,18176.00,3663.80,,,
,C00292102,ALLERGAN INC POLITICAL ACTION COMM FOR EMPLOYEES (APACE),Termination report,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-03-16,44596.36,,,15557.36,,,,,6674.18,8883.18,,,
,C00249961,ALLERPAC - JOINT COUNCIL OF ALLERGY ASTHMA AND IMMUNOLOGY,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,,,10283.00,,,,,,,,
,C00421230,"AIRBUS GROUP, INC. PAC",Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-06-23,2015-06-30,6550.00,,,3961.33,32568.81,,,,3439.37,521.96,,,
,C00341800,AIRPORTS COUNCIL INTERNATIONAL-NORTH AMERICA PAC,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,12608.57,,,3742.02,36347.54,,,,3582.02,160.00,,,
,C00557025,AK RA FEDERAL PAC,Quarterly,2016,Hybrid super PAC,Unauthorized,2015-01-01,2015-06-30,1231.93,,,2368.00,1232.70,,,,,,,,
,C00511014,ALABAMA RETAIL ASSOCIATION PAC,Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-06-30,,,,,1060.00,,,,,,,,
,C00248690,ALARM INDUSTRY COMMUNICATIONS COMMITTEE POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,655.00,,,0.16,5925.80,,,,,,,,
,C00024349,ALASKA AIR GROUP INC. POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-01-31,5000.00,,,,5719.71,,,,,,,,
,C00538769,ALASKA BERING SEA CRABBERS PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,16232.17,,,13850.00,8158.08,,,,13850.00,,,,
,C00142653,ALERTED DEMOCRATIC MAJORITY,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,7.00,,,66.08,84521.86,,,,,,,,
,C00371385,ALEX LEE INC PAC,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,10000.00,,,,39469.00,,,,,,,,
,C00364109,AMERICAN CABLE ASSOCIATION INC PAC (ACA PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,20564.46,,,9350.00,270250.57,,,,9000.00,350.00,,,
,C00410084,AMERICAN CLINICAL LABORATORY ASSOCIATON PAC (LABPAC),Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-06-30,27000.00,,,27960.82,21849.57,,10000.00,,17960.82,,,,
,C00486134,AMERICAN COLLEGE OF CLINICAL PHARMACY POLITICAL ACTION COMMITTEE (ACCP-PAC),Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,,8005.00,48724.88,,,,3250.00,4755.00,,,
,C00322727,AMERICAN CONCRETE PAVEMENT ASSOCIATION PAC (ACPA),Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,1000.00,,,1175.00,12139.94,,,,1000.00,175.00,,,
,C00425686,AMERICAN CONCRETE PIPE ASSOCIATION PAC,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,6000.00,,,4005.00,13896.09,,,,3165.00,840.00,,,
,C00010868,AMERICAN COUNCIL OF ENGINEERING COMPANIES (ACEC/PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,75311.67,,,57908.19,403658.01,,13000.00,,35220.52,9480.00,,,
,C00110338,AMERICAN CRYSTAL SUGAR COMPANY POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,185203.02,,,20154.74,1631431.34,,,,19346.34,682.00,,,
,C00000729,AMERICAN DENTAL ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,127683.05,,,29136.16,465079.11,,,2224.61,2250.00,24633.48,,,
,C00545376,AMERICAN ADDICTIONS CENTER INC PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,,,,,1000.00,,,,,,,,
,C00432989,AMERICAN AIRLINES FEDERAL CREDIT UNION PAC (AA CREDIT UNION PAC),Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,,,,1555.82,7975.95,,,,625.00,914.00,,,
,C00107300,AMERICAN AIRLINES INC. POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,38050.00,,,28537.63,82692.70,,,,19805.26,3732.37,,,
,C00249581,AMERICAN ASSOCIATION OF BIOANALYSTS POLITICAL ACTION COMMITTEE (AAB*PAC),Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,,141.15,25264.00,,,,,138.00,,,
,C00005660,AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,19907.01,,,12169.32,582149.35,,,,10283.00,1100.00,,,
,C00331017,AMERICAN ASSOCIATION OF PHYSICIAN SPECIALISTS INC. POLITICIAN ACTION COMMITTEE (AAPSPAC),Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,4829.85,,,150.00,6446.77,,,,100.00,50.00,,,
,C00547398,AMERICAN ASSOCIATION OF PRIVATE LENDERS PAC (APL-PAC),Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,,,,,,,,,,,
,C00460204,AMERICAN ASSOCIATION OF RESPONSIBLE AUTO LENDERS (AARAL) PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,,,,,88.65,,,,,,,,
,C00153171,AMERICAN BENEFITS COUNCIL POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-06-30,12750.00,,,5001.33,27848.59,,5000.00,,,,,,
,C00004879,AMERICAN BUS ASSOCIATION-BUSPAC POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,5500.00,,,5834.48,182342.78,,,,5502.48,332.00,,,
,C00403881,AMERICAN COLLEGE OF PHYSICIAN SERVICES INC PAC; AKA ACP SERVICES PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,16331.78,,,1725.00,92576.99,,,,1200.00,525.00,,,
,C00027532,AMERICAN MARITIME OFFICERS VOLUNTARY POLITICAL ACTION FUND,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-03-01,2015-03-31,18500.00,,,31504.30,137063.24,,,,8409.00,23095.30,,,
,C00027532,AMERICAN MARITIME OFFICERS VOLUNTARY POLITICAL ACTION FUND,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,38000.00,,,27829.50,114105.94,,,,10764.50,17065.00,,,
,C00000422,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,51106.37,,,120315.19,929253.33,,,,82218.88,38089.97,,,
,C00389585,AMERICAN MEDICAL RESPONSE INC POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-04-01,2015-04-30,4500.00,,,1092.28,69089.23,,,,849.20,243.08,,,
,C00389585,AMERICAN MEDICAL RESPONSE INC POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,,,,1092.28,69242.24,,,,964.58,127.70,,,
,C00022988,AMERICAN NURSERY AND LANDSCAPE ASSOCIATION - POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,218.85,,,,3879.06,,,,,,,,
,C00214148,AMERICAN PEANUT SHELLERS ASSOCIATION POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-04-01,2015-06-30,19412.62,,,17264.78,109198.65,,3000.00,,10150.00,4100.00,,,
,C99002396,AMERICAN POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,75669.10,,,16869.13,531069.18,,,,1226.00,15598.00,,,
,C00488098,SAVE OUR SOCIETY PAC (SOS-PAC),Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,,,,,,,,,,,,,
,C00210526,AMERICAN FIDELITY CORPORATION POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,10500.00,,,24471.96,259084.63,,,,16081.87,8390.09,,,
,C00305870,AMERICAN FREE ENTERPRISE PAC,A,2016,PAC,Unauthorized,2015-06-01,2015-06-30,,,,,3762.05,,,,,,,,
,C00415026,AMERICAN FUELS AND PETROCHEMICAL MANUFACTURERS ASSOCIATION POLITICAL ACTION COMMITTEE (AFPMPAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,6000.00,,,1645.32,103687.16,,,,1483.32,162.00,,,
,C00436899,AMERICAN INCOME LIFE POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,,,,1666.53,68800.04,,,,1351.82,314.71,,,
,C00441808,AMERICAN KENNEL CLUB INC POLITICAL ACTION COMMITTEE (AKC PAC),Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,1000.00,,,2170.00,12522.00,,,,1800.00,370.00,,,
,C00496596,AMERICAN LANDSCAPE PAC; THE,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,456.00,,,300.00,219.00,,,,300.00,,,,
,C00553271,AMERICAN LEADERSHIP NOW (ALN PAC),Quarterly,2016,PAC,Leadership PAC,2015-04-01,2015-06-30,5604.93,,,,13584.82,,,,,,,,
,C00495150,AMERICAN LIBERTY AND NATION PAC (ALAN PAC),Quarterly,2016,PAC,Leadership PAC,2015-01-01,2015-03-31,5681.89,,,39920.95,45162.56,,,39920.95,,,,,
,C00495150,AMERICAN LIBERTY AND NATION PAC (ALAN PAC),Quarterly,2016,PAC,Leadership PAC,2015-04-01,2015-06-30,,,,,45162.56,,,,,,,,
,C00464537,AMERICAN MARITIME HOLDINGS INCORPORATED POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,,,62.68,,,,,,,,
,C00089557,AMERICAN MARITIME OFFICERS RETIREES ASSOCIATION,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,,,,1990.76,158302.60,,,,250.00,1740.76,,,
,C00145623,AMERICAN STAFFING ASSOCIATION STAFFING PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,3011.92,,,10960.69,266394.38,,,,9750.00,200.00,,,
,C00166074,AMERICAN SUPPLY ASSOCIATION POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-03-31,2500.00,,,4900.00,18264.00,,,,4900.00,,,,
,C00034678,AMERICAN WATERWAYS OPERATORS-PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,2041.73,,,6290.00,107020.06,,5000.00,,950.00,340.00,,,
,C00549493,AMERICANS CALLING FOR TRUTH NOW AKA ACT NOW,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,365.25,,,200.00,97.55,,,,,200.00,,,
,C00112680,AMERICANS FOR DEMOCRATIC ACTION INC POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,,,,,20185.58,,,,,,,,
,C00113019,AMERICANS UNITED IN SUPPORT OF DEMOCRACY,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,12689.03,,,,52321.37,,,,,,,,
,C00429753,AMG VANADIUM POLITICAL ACTION COMMITTEE (AMG VANADIUM PAC) FKA METALLURG VANADIUM CORP PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,,,,,869.00,,,,,,,,
,C00508085,AMERICAN SECURITIZATION FORUM INC POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,,,,,3409.66,,,,,,,,
,C00325332,AMERICAN SENIORS HOUSING ASSOCIATION (SENIORS HOUSING PAC),Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,71406.00,,,36475.00,915033.26,,,,36000.00,475.00,,,
,C00043059,AMERICAN SHEEP INDUSTRY ASSOCIATION INC RAMS PAC,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,2263.99,,,1225.00,27102.00,,,,1225.00,,,,
,C00515049,AMERICAN SOCIETY OF PENSION PROFESSIONALS & ACTUARIES NTSA PAC,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,198.60,,,197.66,2270.30,,,,,,,,
,C00229385,AMERICAN SOVEREIGNTY PAC,Quarterly,2016,Hybrid super PAC,Unauthorized,2015-04-01,2015-06-30,15847.98,,,15797.00,2711.23,,,,2428.00,13369.00,,,
,C00081414,AMERICAN SUGAR CANE LEAGUE OF USA INC POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,56284.63,,,27326.18,230831.26,,,,26280.97,1043.77,,,
,C00167684,AMERICAN SUGARBEET GROWERS ASSOCIATION PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,44239.09,,,51954.43,11633.15,,30000.00,,21184.00,766.00,,,
,C00576132,AMERICAN VALUES PAC,Quarterly,2016,Hybrid super PAC,Unauthorized,2015-01-01,2015-06-30,,,,200.00,400.00,,,,,200.00,,,
,C00265652,AMERICAN WATCH ASSOC POLITICAL ACTION COMM,Quarterly,2016,PAC,Lobbyist/Registrant PAC,2015-01-01,2015-06-30,1500.00,,,,3139.32,,,,,,,,
,C00112680,AMERICANS FOR DEMOCRATIC ACTION INC POLITICAL ACTION COMMITTEE,Monthly,2016,PAC,Unauthorized,2015-05-01,2015-05-31,,,,,20185.58,,,,,,,,
,C00491555,AMERINET POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,1500.00,,,450.00,6855.00,,,,250.00,200.00,,,
,C00093963,ARCHER DANIELS MIDLAND COMPANY-ADM PAC,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,25500.00,,,12028.79,25584.61,,,,10328.79,1700.00,,,
,C00395285,AREVA  INC. PAC,Monthly,2016,PAC,Lobbyist/Registrant PAC,2015-06-01,2015-06-30,9000.00,,,7555.72,58510.72,,,,4723.36,2832.36,,,
,C00458091,ARG PAC,Termination report,2016,PAC,Unauthorized,2015-04-01,2015-06-30,9.24,,,,,,,,,,,,
,C00491340,ARISTOTLE INTERNATIONAL INC. POLITICAL ACTION COMMITTEE (ARISTOTLE PAC),Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,,,,,437.50,,,,,,,,
,C00039941,ARIZONA BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,,7009.00,18482.85,,,,3450.00,3559.00,,,
,C00415539,ARIZONA WESTSIDE DISTRICTS PAC,Quarterly,2016,PAC,Unauthorized,2015-04-01,2015-06-30,,,,,10667.00,,,,,,,,
,C00413948,ARKANSAS FOR LEADERSHIP POLITICAL ACTION COMMITTEE (ARKPAC),Quarterly,2016,PAC,Leadership PAC,2015-01-01,2015-06-30,90232.76,,,64667.96,16779.91,,59500.00,,5000.00,,,,
,C00364067,ARTS PAC,Quarterly,2016,PAC,Unauthorized,2015-01-01,2015-06-30,40.06,,,,72.31,,,,,,,,
,C00336768,ARVEST BANK GROUP INC PAC INC,Monthly,2016,PAC,Unauthorized,2015-06-01,2015-06-30,,,,2133.10,50058.53,,,,686.02,1447.08,,,
